lng,lat,parcel_id
-72.71316,41.74772,115474009
-72.71309,41.74783,115474010
-72.71310,41.74796,115474011
-72.71345,41.74791,115474012
-72.71390,41.74779,115474013
-72.71408,41.74780,115474014
-72.71427,41.74780,115474015
-72.71447,41.74777,115474016
-72.71471,41.74742,116474001
-72.71473,41.74721,116474002
-72.71484,41.74708,116474003
-72.71475,41.74693,116474004
-72.71476,41.74678,116474005
-72.71478,41.74662,116474006
-72.71480,41.74637,116474007
-72.71480,41.74622,116474008
-72.71481,41.74606,116474009
-72.71477,41.74557,116474010
-72.71468,41.74587,116474011
-72.71451,41.74606,116474012
-72.71442,41.74614,116474013
-72.71437,41.74625,116474014
-72.71426,41.74650,116474016
-72.71419,41.74663,116474017
-72.71412,41.74676,116474018
-72.71406,41.74699,116474019
-72.71446,41.74710,116474020
-72.71374,41.74747,116474021
-72.71432,41.74636,116474900
-72.71247,41.74719,116475022
-72.71451,41.74450,116475023
-72.71502,41.74341,116475024
-72.71533,41.74343,117475007
-72.71397,41.74326,117483008
-72.71518,41.73995,117585001
-72.71521,41.74026,117585002
-72.71521,41.74077,117585003
-72.71514,41.74123,117585004
-72.71511,41.74151,117585005
-72.71505,41.74192,117585006
-72.71475,41.73613,118585001
-72.71479,41.73630,118585002
-72.71482,41.73645,118585003
-72.71487,41.73672,118585004
-72.71495,41.73750,118585005
-72.71502,41.73822,118585006
-72.71504,41.73849,118585007
-72.71507,41.73873,118585008
-72.71511,41.73918,118585009
-72.71517,41.73983,118585010
-72.71319,41.73828,118588011
-72.71370,41.73681,118588012
-72.71369,41.73667,118588013
-72.71367,41.73654,118588014
-72.71365,41.73639,118588015
-72.71364,41.73628,118588016
-72.71364,41.73612,118588017
-72.71249,41.73631,118588018
-72.71265,41.73662,118588019
-72.71492,41.73438,119585011
-72.71501,41.73480,119585012
-72.71450,41.73492,119585013
-72.71468,41.73580,119585014
-72.71479,41.73333,119586010
-72.71297,41.73218,119587001
-72.71347,41.73235,119587002
-72.71389,41.73226,119587003
-72.71350,41.73262,119587004
-72.71353,41.73284,119587005
-72.71398,41.73282,119587006
-72.71395,41.73295,119587007
-72.71361,41.73318,119587008
-72.71372,41.73352,119587009
-72.71426,41.73312,119587010
-72.71372,41.73594,119588015
-72.71373,41.73536,119588016
-72.71301,41.73569,119588017
-72.71340,41.73468,119588018
-72.71249,41.73499,119588019
-72.71286,41.73360,119588020
-72.71280,41.73344,119588021
-72.71275,41.73331,119588022
-72.71269,41.73318,119588023
-72.71264,41.73305,119588024
-72.71259,41.73291,119588025
-72.71254,41.73278,119588026
-72.71254,41.73265,119588027
-72.71250,41.73256,119588028
-72.71263,41.73232,119588029
-72.71489,41.73159,120587039
-72.71467,41.73191,120587040
-72.71426,41.73198,120587041
-72.71401,41.73210,120587088
-72.71336,41.73208,120587089
-72.71469,41.73078,120696001
-72.71469,41.73064,120696002
-72.71468,41.73050,120696003
-72.71467,41.73030,120696004
-72.71466,41.73017,120696006
-72.71466,41.73009,120696007
-72.71465,41.72995,120696008
-72.71465,41.72982,120696009
-72.71464,41.72968,120696010
-72.71463,41.72953,120696011
-72.71463,41.72941,120696012
-72.71462,41.72928,120696013
-72.71461,41.72913,120696014
-72.71420,41.72912,120696022
-72.71421,41.72929,120696023
-72.71421,41.72940,120696024
-72.71422,41.72952,120696025
-72.71423,41.72968,120696026
-72.71423,41.72981,120696027
-72.71424,41.72998,120696028
-72.71425,41.73009,120696029
-72.71425,41.73023,120696030
-72.71426,41.73039,120696031
-72.71427,41.73050,120696032
-72.71428,41.73063,120696033
-72.71428,41.73075,120696034
-72.71429,41.73091,120696035
-72.71420,41.73116,120696036
-72.71451,41.73116,120696037
-72.71482,41.73121,120696038
-72.71458,41.72859,120697015
-72.71458,41.72845,120697016
-72.71417,41.72844,120697017
-72.71417,41.72858,120697018
-72.71418,41.72875,120697019
-72.71418,41.72885,120697020
-72.71460,41.72886,120697021
-72.71383,41.73125,120701042
-72.71372,41.73106,120701043
-72.71371,41.73092,120701044
-72.71370,41.73079,120701045
-72.71370,41.73065,120701046
-72.71369,41.73051,120701047
-72.71368,41.73038,120701048
-72.71367,41.73024,120701049
-72.71367,41.73010,120701050
-72.71366,41.72997,120701051
-72.71365,41.72983,120701052
-72.71365,41.72969,120701053
